Código;Grupo/Família (Abrev.);Nome do produto;Unidade;Preco_Unit;Cobre_kg;Aluminio_kg;PVC_kg;Skin_kg;Embalagem_kg;Peso_Total_kg
F115;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 4,0MM PRETO AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F116;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 4,0MM VERMELHO AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F117;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 4,0MM AMARELO AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F118;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 4,0MM AZUL AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F119;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 4,0MM VERDE AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F120B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 4,0MM BRANCO AUTOFLEX* METRO [BOBINA];M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F141;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 4,0MM CINZA AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F141B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 4,0MM CINZA AUTOFLEX* METRO [BOBINA];M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F119B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 4,0MM VERDE AUTOFLEX* METRO [BOBINA];M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F122;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 6,0MM VERMELHO AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F121;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 6,0MM PRETO AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F122B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 6,0MM VERMELHO AUTOFLEX* METRO [BOBINA];M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F123B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 6,0MM AMARELO AUTOFLEX* METRO [BOBINA];M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F124B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 6,0MM AZUL AUTOFLEX* METRO [BOBINA];M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F125B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 6,0MM VERDE AUTOFLEX* METRO [BOBINA];M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F126B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 6,0MM BRANCO AUTOFLEX* METRO [BOBINA];M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F142;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 6,0MM CINZA AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PL008B;CABO ELETRICO AUTOFLEX;CORDAO PARALELO 2X2,5MM BRANCO AUTOFLEX* METRO (BOBINA);M;176471490414347.56;1.32;0.0;0.15;0.0;0.0;283600000000000.06
PL009;CABO ELETRICO AUTOFLEX;CORDAO PARALELO 2X4,0MM BRANCO AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PL009B;CABO ELETRICO AUTOFLEX;CORDAO PARALELO 2X4,0MM BRANCO AUTOFLEX* METRO (BOBINA);M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F151;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 1,0MM PRETO AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F152;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 1,0MM VERMELHO AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F153;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 1,0MM AMARELO AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F154;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 1,0MM AZUL AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F107;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 1,5MM VERDE AUTOFLEX* 100M;RL;1.193812940422806e+16;77.0;0.0;11.0;0.0;0.0;1883.0
F108;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 1,5MM BRANCO AUTOFLEX* 100M;RL;1.193812940422806e+16;77.0;0.0;11.0;0.0;0.0;1883.0
F104;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 1,5MM VERMELHO AUTOFLEX* 100M;RL;1.193812940422806e+16;77.0;0.0;11.0;0.0;0.0;1883.0
F103;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 1,5MM PRETO AUTOFLEX* 100M;RL;1.193812940422806e+16;77.0;0.0;11.0;0.0;0.0;1883.0
F108B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 1,5MM BRANCO AUTOFLEX* METRO [BOBINA];M;119381294042280.6;0.77;0.0;0.11;0.0;0.0;18.830000000000002
F139B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 1,5MM CINZA AUTOFLEX* METRO (BOBINA);M;119381294042280.6;0.77;0.0;0.11;0.0;0.0;18.830000000000002
F130;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 10,0MM AZUL AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F131;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 10,0MM VERDE AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F132;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 10,0MM BRANCO AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F129;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 10,0MM AMARELO AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F128B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 10,0MM VERMELHO AUTOFLEX* METRO [BOBINA];M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F127B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 10,0MM PRETO AUTOFLEX* METRO [BOBINA];M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F143;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 10,0MM CINZA AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F143B;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 10,0MM CINZA AUTOFLEX* METRO [BOBINA];M;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F146;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 16,0MM PRETO AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F179;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 16,0MM VERDE AUTOFLEX* 100M;RL;0.0;0.0;0.0;0.0;0.0;0.0;0.0
F110;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 2,5MM VERMELHO AUTOFLEX* 100M;RL;1.7647149041434756e+16;132.0;0.0;15.0;0.0;0.0;2.8360000000000004e+16
F109;CABO ELETRICO AUTOFLEX;CABO ELETRICO FLEXIVEL 2,5MM PRETO AUTOFLEX* 100M;RL;1.7647149041434756e+16;132.0;0.0;15.0;0.0;0.0;2.8360000000000004e+16
